studenthours, Marks
1,             20
2,             40
3,             60 
4,             80
5,             100
6,             120
7,             140
8,             160
9,             180
10,            200
11,            240
12,            260
13,            280
14,            300
15,            320
16,            340
17,            360
18,            380
19,            400
20,            420
21,            440
22,            460
23,            480
24,            500
25,            520
26,            540
27,            560
28,            580
29,            600
30,            620
31,            640
32,            660
33,            680
34,            700
35,            720
36,            740
37,            760
38,            780
39,            800
40,            820
41,            840
42,            860
43,            880
44,            900
45,            920
46,            940
47,            960
48,            980
49,           1000
